new_time,sound_pressure_level [dba],indoor_relative_humidity [%],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],temp_setpoint [Celsius],baromatic_pressure [hPa],outdoor_co2 [ppm],air_temperature [Celsius]
2021-09-07 03:40:00,59.47999954,49.95266724,1.766666651,506.8666687,1,26.4,1004.099976,463.8988342,22.80400085
2021-09-07 03:45:00,60.44333267,50.12400055,1.866666675,546.9666748,1,26.4,1003.900024,464.8851624,22.82900047
2021-09-07 03:50:00,64.5,49.51142883,1.821428537,574.3571167,1,26.4,1003.900024,463.1122437,23.18785667
2021-09-07 03:55:00,62.73666763,49.41699982,1.666666627,599.6333618,1,26.4,1003.900024,463.8858337,23.23666573
2021-09-07 04:00:00,64.30000305,49.40733337,2.033333302,626.1333618,1,26.4,1003.801575,462.9024658,23.28633308
2021-09-07 04:05:00,62.18333435,49.24866486,1.700000048,636.1333618,1,26.4,1003.799988,463.4957275,23.24066734
2021-09-07 04:10:00,63.79310226,49.26655197,1.517241359,638.1724243,1,26.4,1003.900024,463.2990723,23.14586258
2021-09-07 04:15:00,61.74333191,49.29566574,1.600000024,644.4333496,1,26.4,1003.900024,463.0893555,23.05266762
2021-09-07 04:20:00,60.67333221,49.19733429,1.433333278,649.4333496,1,26.4,1003.900024,462.5155945,23.04366684
2021-09-07 04:25:00,61.14333344,49.36633301,1.466666698,650.2999878,1,26.4,1003.900024,462.7123718,22.8686676
2021-09-07 04:30:00,61.24333191,49.36299896,1.533333302,648.2666626,1,26.4,1003.900024,462.6960449,22.78633308
2021-09-07 04:35:00,62.53333282,49.03900146,1.5,644.3666382,1,26.4,1003.900024,462.8992615,22.8813324
2021-09-07 04:40:00,64.54285431,49.04964447,1.321428537,642.5357056,1,26.4,1003.900024,462.3222656,22.78678513
2021-09-07 04:45:00,63.92666626,48.97499847,1.200000048,634.0,1,26.4,1004.096741,462.4896851,22.80533409
2021-09-07 04:50:00,63.12666702,49.11199951,1.233333349,637.166687,1,26.4,1003.900024,464.0856934,22.74600029
2021-09-07 04:55:00,59.96666718,49.05166626,1.633333325,636.8666382,1,26.4,1003.799988,463.6924438,22.76633263
2021-09-07 05:00:00,57.21666718,48.54833221,1.433333278,615.0666504,1,26.4,1003.799988,462.9025879,22.78933334
2021-09-07 05:05:00,56.8133316,48.18166733,1.133333325,586.0666504,1,26.4,1003.700012,462.8927612,22.82966614
2021-09-07 05:10:00,56.95999908,47.93366623,1.166666627,560.666687,1,26.4,1003.599976,462.5092163,22.87266731
2021-09-07 05:15:00,57.40333176,47.96699905,1.100000024,542.7333374,1,26.4,1003.700012,464.65625,22.76600075
2021-09-07 05:20:00,57.02000046,47.82099915,1.066666722,528.1333618,1,26.4,1003.599976,463.4957275,22.84466743
2021-09-07 05:25:00,57.20333481,48.00733185,1.100000024,520.7999878,1,26.5,1003.700012,463.292572,22.70533371
2021-09-07 05:30:00,57.1071434,48.37678528,1.142857194,514.1428833,1,26.5,1003.700012,462.6960449,22.52464294
2021-09-07 05:35:00,60.28333282,48.19433212,1.366666675,514.3666382,1,26.5,1003.700012,462.856781,22.70933342
2021-09-07 05:40:00,57.56999969,48.15866852,1.233333349,515.3666382,1,26.5,1003.799988,462.6928101,22.78199959
2021-09-07 05:45:00,57.61666489,47.63199997,1.399999976,516.5999756,1,26.5,1003.599976,462.0963135,22.99533272
2021-09-07 05:50:00,59.53792953,47.5024147,1.241379261,516.6896362,1,26.5,1003.700012,462.2929382,23.13241386
2021-09-07 05:55:00,62.82333374,47.7179985,1.633333325,526.7000122,1,26.5,1003.700012,462.6895752,23.31299973
2021-09-07 06:00:00,65.97333527,47.85833359,2.033333302,563.5999756,1,26.5,1003.599976,463.1220093,23.43333244
2021-09-07 06:05:00,62.74333191,48.08066559,1.833333373,600.833313,1,26.5,1003.700012,461.9093018,23.52400017
2021-09-07 06:10:00,63.0,48.10233307,1.766666651,641.9333496,1,26.5,1003.900024,462.0930481,23.61366653
2021-09-07 06:15:00,62.17666626,48.22499847,1.799999952,662.4666748,1,26.5,1003.900024,462.4928894,23.43000031
2021-09-07 06:20:00,63.80666733,48.58533478,1.733333349,679.4666748,1,26.5,1003.900024,461.7159119,23.31200027
2021-09-07 06:25:00,66.68571472,48.52892685,1.607142806,690.7142944,1,26.5,1004.099976,461.9028625,23.21857071
2021-09-07 06:30:00,65.71333313,48.3219986,1.533333302,693.9333496,1,26.5,1003.900085,462.2945557,23.20599937
2021-09-07 06:35:00,63.43000031,48.10966492,1.933333278,703.4333496,1,26.5,1004.099976,461.1195374,23.24733353
2021-09-07 06:40:00,60.95666504,47.93999863,1.700000048,700.9666748,1,26.5,1003.900024,460.7197266,23.24266624
2021-09-07 06:45:00,61.21034622,47.88620758,1.275862098,700.9655151,1,26.5,1003.900024,462.7026062,23.2282753
2021-09-07 06:50:00,62.06666565,47.72499847,1.266666651,702.9333496,1,26.5,1003.900024,462.6895447,23.24900055
2021-09-07 06:55:00,61.93999863,47.54000092,1.266666651,700.4333496,1,26.6,1004.099976,463.5087891,23.22999954
2021-09-07 07:00:00,62.33000183,47.53499985,1.0,699.7333374,1,26.6,1004.200012,461.7127686,23.23966599
