Atmospheric Pressure,indoor_relative_humidity [%],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],occupant_count [number],voc [ppb]
56.14,66.59,25.38,2.5,527.0,24,20.0
56.13,66.53,25.43,2.47,523.87,20,20.0
56.21,66.71,25.4,2.67,521.17,26,20.0
56.18,66.56,25.47,2.53,519.07,32,20.0
55.82,66.97,25.39,2.54,516.57,25,24.4642849
56.23,66.91,25.42,2.41,514.1,24,27.17241287
56.15,67.16,25.38,2.7,512.93,27,21.96666718
56.19,67.11,25.41,2.6,508.13,29,20.10000038
56.16,67.33,25.38,2.57,507.7,26,20.0
56.15,67.42,25.38,2.53,507.77,33,20.0
56.16,67.69,25.34,2.53,507.03,29,20.0
56.18,67.62,25.38,2.97,506.67,22,20.0
56.17,67.85,25.35,2.73,506.6,23,20.0
56.22,67.89,25.36,2.83,508.73,34,20.0
55.81,68.03,25.35,2.79,506.43,31,20.25
56.18,68.3,25.3,2.67,503.17,28,24.53333282
56.14,68.31,25.31,2.62,500.76,30,20.6896553
56.15,68.38,25.32,2.33,499.87,30,20.03333282
56.17,68.37,25.34,2.63,495.77,20,20.0
56.16,68.37,25.36,2.8,496.57,33,20.0
56.17,68.62,25.31,2.8,496.43,22,20.0
56.16,68.62,25.34,2.67,491.77,28,20.0
56.15,68.8,25.3,2.77,490.27,30,20.0
56.1,68.86,25.31,2.8,494.03,22,20.0
56.16,68.82,25.35,2.67,493.7,27,20.0
55.77,69.01,25.32,2.71,490.71,22,27.4285717
56.15,69.12,25.29,2.59,492.76,29,22.96551704
56.14,69.15,25.31,2.7,490.7,25,20.26666641
56.12,69.16,25.34,2.43,487.67,22,20.0
56.14,69.28,25.32,2.4,487.7,27,20.0
56.11,69.32,25.34,2.57,490.77,28,20.0
56.15,69.52,25.3,2.17,489.9,25,20.0
56.13,69.7,25.27,2.47,489.17,16,20.0
56.13,69.57,25.33,2.5,487.87,26,20.0
56.05,69.72,25.3,2.27,487.87,28,20.0
55.84,69.79,25.3,2.39,487.86,19,22.3214283
56.2,69.83,25.31,2.37,485.33,24,22.10000038
56.14,69.85,25.32,2.45,486.28,29,20.03448296
56.18,69.61,25.07,2.4,481.6,22,20.0
56.16,64.41,24.62,2.57,474.9,19,20.10000038
56.0,60.23,24.33,2.27,467.07,27,20.0
55.99,58.31,23.99,2.13,459.83,22,20.0
55.94,58.95,24.42,2.07,455.87,24,20.0
55.95,59.56,24.83,2.13,454.47,18,20.0
55.94,60.17,24.95,2.3,456.2,15,20.0
55.64,60.98,24.91,2.07,455.39,25,20.1428566
56.09,61.49,24.92,2.1,454.73,28,21.60000038
56.08,62.12,24.9,2.1,451.97,15,20.03448296
56.11,62.91,24.85,2.07,449.87,20,20.0
56.15,63.37,24.88,2.07,451.87,24,20.0
56.06,63.85,24.87,2.13,450.6,26,20.0
56.03,64.23,24.9,2.1,447.6,17,20.0
56.05,63.5,24.71,2.07,447.47,21,20.0
56.01,60.22,24.2,2.03,444.03,16,20.0
55.91,57.77,23.88,2.03,439.07,21,20.0
55.84,55.68,23.54,1.86,438.38,25,20.0
57.36,54.17,23.3,1.62,436.34,19,20.3103447
55.94,53.05,23.16,1.66,434.48,18,20.0
55.93,52.24,23.01,1.5,434.77,15,20.0
55.86,51.72,22.9,1.17,432.43,27,20.0
55.88,52.12,22.78,1.37,428.8,23,20.0
55.82,52.19,22.7,1.2,431.53,18,20.0
55.8,52.08,22.64,1.17,428.07,18,20.0
55.72,52.11,22.57,1.17,426.23,16,20.0
55.74,52.12,22.53,1.13,426.4,21,20.0
55.86,52.2,22.47,1.0,425.73,17,20.0
57.8,52.28,22.43,1.11,424.61,26,20.7142849
56.17,52.26,22.41,1.17,420.83,17,20.16666603
55.88,52.39,22.38,1.03,418.97,17,20.0
55.88,52.5,22.33,1.03,421.83,18,20.0
55.94,52.6,22.31,1.0,419.33,26,20.0
56.04,52.69,22.27,1.1,419.37,19,20.0
56.03,52.61,22.28,1.1,420.07,17,20.0
56.02,52.63,22.23,1.0,419.83,30,20.0
56.06,52.77,22.18,1.0,419.67,18,20.0
56.03,52.76,22.17,1.07,420.93,19,20.0
57.41,52.88,22.13,1.04,416.32,23,22.5357151
56.8,52.86,22.14,1.0,413.93,18,25.63333321
56.06,52.98,22.13,1.0,413.0,15,20.62068939
56.06,53.18,22.07,1.0,414.0,25,20.0
56.03,53.28,22.08,1.07,414.7,23,20.0
56.1,54.03,22.07,1.0,411.07,16,20.0
56.08,54.59,22.08,1.0,409.4,27,20.0
56.05,54.44,22.09,1.0,408.1,29,20.0
56.1,53.78,22.03,1.0,409.73,19,20.0
56.05,53.04,21.97,1.03,412.8,21,20.0
56.11,52.4,21.92,1.0,413.11,18,20.0
57.59,51.81,21.9,1.03,413.93,16,23.39999962
56.04,51.45,21.86,1.0,414.03,28,20.70000076
55.96,51.52,21.79,1.03,413.38,20,20.0
55.91,51.25,21.81,1.03,412.07,30,20.0
55.91,50.98,21.79,1.03,411.03,19,20.0
55.91,50.82,21.76,1.03,410.63,27,20.0
55.96,50.77,21.72,1.07,407.57,15,20.0
55.94,50.82,21.68,1.0,404.5,28,20.0
55.93,50.78,21.68,1.1,407.0,25,20.0
55.89,50.83,21.64,1.07,407.63,18,20.0
57.83,50.83,21.6,1.36,406.96,19,27.2142849
56.15,50.77,21.6,1.17,407.5,26,26.20000076
55.97,50.92,21.54,1.14,411.03,28,23.03448296
55.95,50.89,21.55,1.1,406.57,26,20.79999924
56.56,51.04,21.54,1.37,407.9,23,20.06666756
56.32,50.69,21.75,1.6,412.7,23,20.0
57.02,50.47,21.84,1.1,414.23,20,20.0
57.2,50.43,21.83,1.13,416.1,23,20.0
57.82,50.26,21.89,1.17,416.5,21,20.0
57.31,50.1,21.95,1.1,417.43,30,20.0
58.53,50.02,21.97,1.14,419.79,16,24.0
57.69,49.84,22.01,1.2,418.1,30,29.83333397
56.89,49.62,22.08,1.03,420.62,18,27.34482765
56.89,49.57,22.08,1.4,423.5,17,25.26666641
56.72,49.88,22.16,1.33,419.73,30,25.36666679
57.4,50.49,22.17,1.43,421.57,24,24.60000038
56.61,50.62,22.13,1.3,419.77,16,22.96666718
56.91,50.44,22.19,1.4,418.67,24,21.0
56.91,50.32,22.26,1.33,417.97,20,20.33333397
56.73,50.46,22.22,1.2,421.07,15,20.03333282
57.39,50.59,22.19,1.43,421.39,15,20.0714283
58.35,50.58,22.2,1.27,420.37,26,21.63333321
62.28,50.69,22.22,1.23,419.63,17,20.20000076
59.03,50.62,22.26,1.21,424.1,30,20.0
70.96,50.75,22.21,1.17,423.07,22,20.0
70.52,50.78,22.19,1.23,423.53,17,20.0
57.73,50.67,22.22,1.1,426.97,21,20.0
59.29,50.6,22.2,1.03,427.0,22,20.0
57.53,50.59,22.15,1.1,425.17,21,20.0
56.6,50.46,22.12,1.03,423.17,24,20.0
57.12,50.38,22.11,1.7,423.33,16,20.0
58.71,50.19,22.09,1.18,424.18,22,24.1428566
56.9,49.89,22.12,1.1,418.5,16,27.06666756
56.56,49.8,22.06,1.17,414.41,22,27.3103447
56.92,49.73,22.04,1.0,410.27,23,27.20000076
57.7,49.66,22.03,1.07,409.43,22,28.63333321
58.21,49.52,22.11,1.03,407.27,29,31.63333321
57.62,49.45,22.1,1.1,413.1,28,31.89999962
57.65,49.43,22.07,1.03,416.07,16,28.96666718
57.28,49.4,22.02,1.2,414.57,15,25.79999924
57.35,49.25,22.08,1.0,416.97,20,25.60000038
58.9,49.13,22.11,1.04,418.04,24,23.3571434
57.46,49.29,22.07,1.0,418.17,19,22.56666756
57.28,49.13,22.1,1.0,416.97,16,22.56666756
57.27,49.16,22.08,1.0,416.1,18,20.65517235
57.39,49.2,22.06,1.0,418.27,28,20.0
57.69,49.55,21.92,1.3,418.13,29,20.0
56.86,49.51,21.95,1.07,417.7,26,20.0
56.84,49.36,21.99,1.03,411.4,26,20.0
57.25,49.55,21.88,1.03,407.2,25,20.0
59.11,49.76,21.85,1.0,404.77,19,20.0
59.24,50.24,21.84,1.04,413.11,18,20.0357151
57.95,50.17,21.85,1.1,415.73,20,20.0
57.08,49.92,21.94,1.03,411.0,15,20.0
56.6,50.1,21.91,1.1,411.31,23,20.0
56.79,50.06,21.94,1.17,413.13,17,20.0
58.91,50.03,21.97,1.03,416.13,16,20.0
57.71,49.87,22.1,1.0,414.97,30,20.0
56.9,50.04,22.1,1.03,415.23,28,20.0
62.42,50.32,22.02,1.0,415.87,16,20.0
66.45,50.27,22.08,1.03,415.9,26,20.0
59.5,50.4,22.07,1.0,419.21,16,20.0
68.89,50.53,22.07,1.0,421.48,29,24.27586174
57.0,50.58,22.07,1.03,422.13,19,20.60000038
56.82,50.63,22.07,1.0,419.17,15,20.0
57.13,50.99,21.99,1.1,423.23,29,20.0
56.51,51.07,22.03,1.13,421.93,22,20.0
56.5,51.27,22.0,1.0,418.03,29,20.0
56.58,51.41,22.03,1.0,417.0,15,20.0
57.58,51.56,22.08,1.17,410.7,25,29.46666718
58.94,51.77,22.11,1.07,415.57,19,93.06666565
60.97,51.86,22.14,1.03,420.53,20,56.03333282
67.49,51.99,22.11,1.0,423.54,27,23.7142849
63.58,51.88,22.16,1.0,426.3,17,20.0
61.48,51.93,22.12,1.0,426.2,27,20.0
61.42,51.74,22.16,1.07,428.66,17,20.0
61.42,51.64,22.16,1.07,430.6,17,20.0
57.43,51.6,22.15,1.13,430.1,20,20.0
56.77,51.41,22.2,1.03,427.33,18,20.0
56.97,51.55,22.12,1.1,426.5,25,20.0
58.04,51.57,22.08,1.17,430.43,27,20.0
56.57,51.3,22.16,1.1,431.57,17,20.0
58.17,51.32,22.11,1.0,429.0,15,20.1785717
57.6,51.26,22.09,1.07,429.3,16,20.73333359
56.77,51.22,22.05,1.17,428.5,22,20.0
56.93,51.01,22.1,1.07,429.0,21,20.0
57.44,51.07,22.03,1.33,433.23,18,20.03333282
56.78,51.19,21.94,1.47,437.73,18,20.0
56.51,50.84,22.04,1.27,438.33,20,20.0
56.6,50.72,22.04,1.07,436.17,21,20.0
56.97,50.81,21.97,1.13,436.43,29,20.0
62.44,50.59,22.05,1.03,437.27,16,20.0
60.97,50.62,22.0,1.36,434.21,20,20.0
65.01,50.55,22.01,1.2,434.43,22,24.56666756
63.02,50.38,22.06,1.1,437.43,19,21.86666679
61.51,50.49,22.01,1.43,434.5,26,20.26666641
60.1,50.4,22.03,2.21,433.31,21,20.06896591
56.45,50.36,22.02,2.13,438.13,30,20.0
56.52,50.45,21.98,2.13,439.37,22,21.0
56.14,50.49,21.97,2.0,436.33,17,20.06666756
56.35,50.48,21.96,1.83,436.27,29,20.0
56.1,50.38,22.0,1.57,435.8,26,20.0
57.4,50.31,22.01,1.2,435.8,27,20.0
57.27,50.27,22.08,1.32,405.61,27,21.75
56.02,49.86,22.55,1.13,422.43,25,24.39999962
56.43,49.94,23.01,1.5,464.37,23,29.56666756
56.41,50.04,23.33,1.45,488.38,23,30.06896591
56.04,50.33,23.56,1.17,500.67,24,29.46666718
56.03,50.51,23.81,1.1,508.3,16,28.16666603
56.8,50.99,23.92,1.33,518.13,31,26.86666679
56.12,51.32,24.1,1.3,533.9,30,28.60000038
56.14,51.63,24.22,1.23,544.67,25,25.83333397
56.94,52.08,24.31,1.63,545.07,21,190.4333344
56.0,52.43,24.43,1.75,548.36,16,159.3928528
56.29,52.78,24.54,1.2,551.83,17,20.03333282
56.75,53.2,24.61,1.37,556.97,17,20.0
56.27,53.93,24.57,1.41,526.72,27,20.0
63.34,54.15,24.75,1.6,540.53,17,20.0
61.7,54.52,24.84,1.63,567.33,25,20.0
56.21,55.03,24.87,1.6,572.6,26,20.0
56.16,55.38,24.94,1.47,580.67,16,20.0
56.25,55.85,24.97,1.53,582.57,23,20.0
56.14,56.13,25.02,1.37,581.27,17,20.0
56.01,56.39,25.08,1.5,585.75,28,20.0
56.69,56.7,25.12,1.43,588.67,19,20.5
56.74,56.89,25.18,1.27,592.23,21,20.10000038
65.57,57.15,25.26,1.2,586.73,22,20.0
56.83,57.5,25.28,1.31,589.28,30,20.0
57.03,57.61,25.34,1.33,600.2,21,20.0
56.92,57.88,25.36,1.63,599.73,27,20.0
56.65,58.16,25.42,1.83,599.47,27,20.0
56.71,58.36,25.46,1.47,595.2,22,20.0
57.43,58.51,25.53,1.77,591.73,22,20.0
56.2,58.83,25.42,1.4,576.23,34,20.0
55.79,59.51,25.31,1.46,548.61,29,26.1785717
56.13,59.89,25.2,1.43,540.0,30,21.76666641
56.12,60.51,25.09,1.17,532.43,33,20.06666756
56.13,60.88,25.07,1.03,527.59,28,20.0
56.16,61.12,25.02,1.03,522.5,25,20.0
56.13,61.62,24.98,1.27,519.23,21,20.0
56.06,61.73,24.98,1.07,512.4,32,20.0
56.02,61.65,25.08,1.07,510.0,22,20.0
56.01,61.95,25.05,1.17,506.77,22,20.0
56.01,61.91,25.1,1.17,503.27,25,20.0
55.72,61.87,25.17,1.11,499.29,32,21.25
56.04,62.33,25.06,1.03,499.17,22,20.89999962
56.04,62.15,25.17,1.07,494.7,22,20.0
56.13,62.43,25.13,1.0,495.73,31,20.0
56.19,62.44,25.18,1.0,490.59,25,20.0
56.16,62.73,25.11,1.0,486.53,24,20.0
56.12,62.94,25.08,1.03,483.87,24,20.0
56.13,62.82,25.16,1.07,481.7,25,20.0
56.2,62.78,25.23,1.0,481.9,25,20.0
56.14,63.0,25.19,1.0,478.53,32,20.0
55.76,63.05,25.22,1.04,475.54,21,21.5714283
56.06,63.12,25.23,1.0,469.9,20,24.16666603
56.11,63.21,25.25,1.03,467.93,27,20.60000038
56.07,63.53,25.18,1.03,464.8,32,20.0
56.09,63.68,25.19,1.0,464.24,21,20.0
56.07,63.72,25.2,1.0,463.93,25,20.0
56.06,63.74,25.22,0.97,465.13,34,20.0
56.09,63.94,25.22,0.97,463.1,32,20.0
56.11,64.16,25.19,0.97,463.7,19,20.0
56.15,64.14,25.22,0.97,462.0,30,20.0
55.83,64.29,25.22,1.0,460.76,21,20.0
56.09,64.65,25.13,1.0,461.17,32,22.03448296
56.16,64.54,25.21,0.97,462.63,32,20.56666756
56.19,64.72,25.19,1.0,458.93,21,20.0
56.13,64.69,25.24,1.0,457.45,26,20.0
56.16,64.84,25.22,0.93,454.23,34,20.0
56.13,64.77,25.28,1.0,452.4,23,20.0
56.16,64.91,25.27,0.83,451.1,31,20.0
56.13,65.03,25.27,1.0,449.27,30,20.0
56.19,65.08,25.28,1.0,447.97,26,20.0
56.15,65.27,25.26,1.0,445.43,31,20.0
55.78,65.47,25.23,0.93,442.04,33,23.9285717
56.18,65.4,25.29,0.9,442.67,31,21.96666718
56.2,65.5,25.29,1.0,444.9,32,20.13333321
56.18,65.72,25.26,0.9,445.3,19,20.0
56.18,65.88,25.23,0.93,444.48,22,20.0
56.21,65.87,25.27,0.87,442.43,32,20.0
56.18,66.0,25.27,0.87,442.33,26,20.0
56.19,66.11,25.27,0.93,442.23,27,20.0
56.21,66.21,25.28,0.87,438.03,25,20.0
56.22,66.24,25.29,0.93,443.47,22,20.0
55.79,66.38,25.28,0.93,443.29,28,21.75
56.14,66.46,25.29,0.83,442.17,29,23.36666679
56.2,66.58,25.28,0.97,444.57,25,20.26666641
56.23,66.72,25.26,0.97,443.07,31,20.0
56.2,66.66,25.3,0.9,440.93,31,20.0
56.2,66.68,25.31,0.87,441.43,24,20.0
56.16,66.84,25.31,0.87,444.27,28,20.0
56.19,66.94,25.31,0.9,442.33,20,20.0
56.19,67.18,25.27,0.97,442.87,19,20.0
56.18,67.29,25.27,0.97,442.93,31,20.0
55.88,67.34,25.28,0.96,439.71,20,20.1428566
56.19,67.39,25.29,0.87,435.0,28,25.36666679
56.18,67.44,25.3,0.9,434.23,28,21.16666603
56.19,67.42,25.34,0.93,433.73,26,20.0
56.16,67.57,25.32,0.7,433.2,22,20.0
56.2,67.48,25.36,0.83,431.62,25,20.0
56.18,67.67,25.34,0.87,430.03,32,20.0
56.15,67.84,25.32,0.87,434.33,21,20.0
56.16,67.92,25.33,0.93,432.1,27,20.0
56.16,67.95,25.35,0.87,432.37,33,20.0
56.2,68.02,25.34,0.87,432.83,19,20.0
55.79,68.18,25.32,0.86,433.29,19,34.5357132
56.13,68.2,25.34,0.87,433.7,29,32.53333282
56.18,68.32,25.34,0.97,437.07,25,26.53333282
56.16,68.37,25.35,0.9,433.93,28,22.0
56.14,68.42,25.35,0.76,433.21,23,20.10344887
56.17,68.5,25.36,0.77,434.6,20,20.0
56.16,68.63,25.33,0.87,432.3,22,20.0
56.17,68.89,25.27,0.93,434.8,31,20.0
56.16,68.81,25.32,0.83,436.73,28,20.0
56.16,69.02,25.29,0.9,438.2,22,20.0
55.76,68.8,25.38,0.79,435.79,20,24.1785717
56.13,68.97,25.35,0.87,438.23,28,25.29999924
56.13,69.16,25.32,0.73,435.8,23,21.03333282
56.09,69.15,25.33,0.9,434.47,29,20.03333282
56.08,69.06,25.39,0.76,436.1,27,20.0
56.13,69.14,25.38,0.77,434.4,20,20.0
56.12,69.26,25.36,0.9,432.83,25,20.0
56.09,69.43,25.34,0.83,429.57,20,20.0
56.11,69.41,25.36,0.87,431.9,29,20.0
56.17,69.17,25.44,0.87,433.53,28,20.0
55.83,69.43,25.39,0.75,431.39,25,20.6428566
56.2,69.46,25.39,0.63,430.77,21,24.06666756
56.23,69.6,25.38,0.97,431.0,18,20.79999924
56.26,69.34,25.11,0.9,431.2,22,20.0
56.16,64.06,24.65,1.0,429.6,19,20.06666756
56.04,59.89,24.4,0.97,424.79,20,20.0
56.02,58.06,24.01,0.97,419.3,24,20.0
56.03,58.79,24.55,0.97,415.77,19,20.20000076
56.03,59.31,24.95,1.0,416.23,26,20.0
55.93,59.85,25.02,0.97,414.97,19,20.0
55.85,60.4,25.05,1.0,413.6,16,20.0
55.64,61.3,24.98,1.0,413.0,20,24.3214283
55.95,61.87,25.01,0.9,415.17,27,22.5
56.06,62.46,24.97,1.0,418.4,28,20.23333359
56.0,62.9,25.0,1.0,417.6,15,20.0
56.02,63.37,24.99,1.0,417.21,29,20.0
55.92,63.67,25.04,0.9,419.81,15,20.0
56.01,63.24,24.8,0.97,423.1,24,20.0
55.98,59.72,24.17,1.0,419.93,20,20.0
55.93,56.7,23.95,1.0,417.13,27,20.0
56.02,54.56,23.6,1.0,415.03,21,20.0
57.36,53.32,23.29,1.03,411.83,19,20.0
60.52,53.09,23.08,1.13,413.5,15,20.0
56.51,52.59,23.03,1.33,432.5,21,20.0
56.67,51.99,23.0,1.13,441.33,20,20.0
56.51,52.1,22.91,1.27,438.8,24,20.0
56.65,51.86,22.83,1.21,434.93,27,20.0
56.38,51.59,23.01,1.2,430.77,21,20.0
58.13,51.52,23.1,1.17,434.9,26,20.0
58.83,51.99,23.1,1.43,448.93,21,20.0
59.42,51.73,23.31,1.57,476.9,26,20.0
58.3,51.46,23.5,1.57,497.0,26,20.4642849
61.07,52.17,23.25,1.37,522.37,17,21.73333359
58.96,52.58,23.16,1.27,546.27,20,20.29999924
61.02,52.77,23.17,1.1,563.53,26,32.03333282
63.45,53.86,23.16,1.25,596.61,15,52.1071434
63.6,54.52,23.11,1.59,642.0,30,35.65517426
62.09,54.28,23.19,1.77,679.0,29,22.13333321
61.72,54.03,23.1,1.57,708.17,26,20.0
62.62,53.6,23.23,1.67,723.63,35,20.0
60.74,53.65,23.09,1.43,727.93,28,20.0
59.9,53.33,23.2,1.34,727.86,27,20.0
64.86,53.21,23.16,1.14,729.38,28,25.6896553
63.69,53.0,23.25,1.33,732.5,32,22.13333321
61.9,52.79,23.31,1.13,732.47,31,20.0
62.08,52.58,23.38,1.2,732.87,28,20.0
62.01,52.7,23.3,1.17,736.17,33,20.0
61.27,52.88,23.25,1.47,735.43,34,20.0
61.93,53.05,23.21,1.57,736.27,33,20.0
62.07,53.24,23.15,1.37,739.97,32,20.0
61.83,53.26,23.19,1.17,739.6,26,20.0
61.07,52.74,23.32,1.4,744.77,30,20.0
61.94,51.71,23.59,1.29,751.18,34,22.2142849
60.69,51.14,23.57,1.13,745.33,33,20.46666718
61.26,51.08,23.5,1.23,743.63,31,20.0
60.15,50.86,23.31,1.17,757.97,26,20.0
62.42,50.57,23.16,1.23,751.6,32,20.0
62.0,49.87,23.29,1.24,742.38,29,20.0
62.31,49.57,23.25,1.5,734.47,26,20.0
61.29,49.35,23.27,1.33,729.13,31,20.0
60.74,49.54,23.08,1.42,722.16,35,20.0
60.56,49.82,22.91,1.2,726.53,35,20.0
61.58,49.71,22.93,1.39,720.39,35,21.1785717
60.86,49.6,22.9,1.27,715.43,26,22.20000076
60.95,49.65,22.79,1.63,711.03,27,20.06666756
59.85,49.48,22.85,1.67,707.0,35,20.0
59.57,49.61,22.78,1.5,707.97,26,20.0
60.43,49.27,22.93,1.28,704.93,28,20.0
61.7,49.23,22.89,1.4,699.4,34,20.0
63.04,49.22,22.9,1.6,697.17,28,20.0
70.54,49.5,22.73,1.7,695.67,29,20.0
66.49,49.54,22.69,1.37,687.27,27,20.0
60.34,49.51,22.68,1.61,680.39,26,20.0357151
63.56,49.49,22.68,1.5,677.5,32,26.43333244
62.26,49.41,22.72,1.27,676.17,25,22.23333359
63.47,49.26,22.74,1.23,676.57,30,20.03333282
61.97,49.29,22.69,1.6,671.83,28,20.0
63.15,49.26,22.7,1.33,677.2,29,20.0
63.09,49.24,22.67,1.62,676.79,35,20.0
62.5,49.31,22.6,1.33,681.2,32,20.0
61.15,49.32,22.56,1.23,678.87,26,20.0
60.75,49.41,22.53,1.47,678.13,33,20.0
61.57,49.51,22.49,1.53,680.0,28,20.0
63.6,49.29,22.64,1.54,678.0,25,22.6785717
61.59,49.06,22.68,1.33,671.53,32,20.76666641
61.99,49.0,22.68,1.17,669.93,32,20.0
63.56,48.79,22.72,1.3,669.3,31,20.0
62.55,49.01,22.65,1.77,676.2,25,20.0
62.74,49.05,22.61,1.76,675.48,32,20.0
62.23,49.22,22.66,1.63,677.13,28,20.0
62.76,49.73,22.62,1.83,681.53,27,20.0
66.68,49.85,22.65,2.3,675.97,26,20.0
57.1,49.43,22.82,2.6,646.0,26,20.0
59.36,48.75,23.01,1.39,589.71,24,21.4642849
60.71,48.86,22.95,1.13,551.1,25,22.0
61.47,49.12,22.88,1.53,532.5,29,20.06666756
58.26,49.4,22.77,1.63,527.33,23,20.0
56.23,49.15,22.8,1.27,513.5,25,20.0
56.23,49.2,22.73,1.0,490.83,18,20.0
56.19,49.38,22.61,1.17,473.8,15,20.0
56.21,49.5,22.55,1.03,461.27,28,20.0
56.26,49.78,22.42,1.0,449.77,26,20.0
56.26,49.97,22.32,1.0,445.17,16,20.0
57.09,50.32,22.18,0.96,437.96,27,20.5
58.09,50.34,22.26,1.0,433.5,30,28.83333397
56.41,50.19,22.37,1.0,431.0,15,24.10000038
56.22,50.3,22.35,1.03,434.87,24,20.60000038
56.14,50.56,22.29,1.0,433.13,27,20.06666756
56.74,50.67,22.32,1.03,431.73,21,20.0
56.09,50.98,22.22,0.97,429.79,16,20.0
56.07,51.49,22.05,1.0,427.26,20,20.0
56.13,51.74,21.98,1.0,422.7,30,20.0
56.14,52.09,21.9,1.0,420.13,19,20.0
56.1,52.26,21.91,1.0,413.73,15,20.0
58.8,52.78,21.83,1.07,400.0,18,33.25
56.35,52.74,21.93,1.03,403.5,21,31.96666718
56.18,52.88,21.91,0.97,413.37,15,25.93333244
57.68,52.46,22.02,1.1,412.9,22,20.70000076
57.76,51.71,22.22,1.13,417.4,26,20.0
59.38,51.53,22.15,1.28,422.31,17,20.0
58.67,50.55,22.31,1.1,427.0,23,20.0
57.87,49.76,22.49,1.03,433.3,20,20.0
58.64,49.13,22.58,1.07,436.43,20,20.0
57.49,48.95,22.51,1.1,435.37,29,20.0
58.69,48.57,22.58,1.07,434.86,30,22.7857151
57.09,48.39,22.52,1.03,430.7,29,24.53333282
56.68,48.3,22.54,1.0,430.67,27,20.89999962
56.64,48.13,22.55,1.0,431.23,26,20.0
57.44,47.97,22.58,1.0,430.93,30,20.0
57.37,47.97,22.52,1.0,427.5,17,20.0
56.85,47.95,22.5,1.0,433.59,26,20.0
56.49,48.11,22.56,1.0,435.0,30,20.0
56.64,48.6,22.54,1.0,434.4,27,20.0
58.17,48.82,22.51,1.07,434.4,28,20.0
59.2,48.91,22.52,1.07,421.46,15,24.3571434
58.77,48.95,22.5,1.0,414.0,16,39.33333206
57.14,48.91,22.48,0.97,427.67,24,35.13333511
57.99,48.98,22.42,1.0,432.17,18,27.26666641
57.86,48.93,22.44,1.03,431.47,29,21.66666603
58.66,49.05,22.4,1.0,432.13,30,20.0
57.92,49.05,22.45,0.97,434.97,15,20.0
59.36,49.22,22.4,1.0,435.43,19,20.0
59.6,49.22,22.41,1.17,434.43,15,34.90000153
56.2,50.13,22.14,1.37,438.17,19,39.86666489
55.92,50.44,22.45,1.28,441.0,15,33.65517426
56.58,50.85,22.81,1.55,443.9,18,32.93103409
56.05,51.31,22.92,1.67,440.97,28,29.73333359
56.09,51.65,23.05,1.5,438.93,26,25.76666641
56.08,51.78,23.21,1.23,439.27,18,21.93333244
56.13,52.07,23.29,1.33,439.33,22,20.23333359
56.07,52.48,23.35,1.24,437.97,27,20.0
56.04,52.72,23.45,1.1,440.43,15,20.0
56.05,53.11,23.51,1.27,438.27,24,20.0
56.14,53.44,23.55,1.43,433.5,26,20.0
56.16,53.82,23.59,1.27,432.37,15,20.0
56.2,54.11,23.63,1.25,431.89,16,24.0714283
56.2,54.3,23.67,1.17,431.93,20,23.76666641
56.22,54.5,23.73,1.13,432.23,16,20.63333321
56.24,54.72,23.79,1.03,428.2,25,20.0
56.25,54.7,23.9,1.1,429.47,22,20.0
56.18,54.92,23.91,1.3,426.17,17,20.0
56.1,55.18,23.91,1.17,423.17,20,20.0
56.06,55.33,23.95,1.07,425.03,26,20.0
56.07,55.43,24.0,1.17,427.1,27,20.0
56.12,55.46,24.05,1.1,426.83,26,20.0
55.96,55.98,24.02,1.14,423.86,18,22.5357151
56.12,56.65,24.03,1.1,422.87,25,27.23333359
56.14,57.14,24.03,1.0,421.67,20,22.63333321
56.12,57.44,24.07,1.07,420.5,27,20.46666718
56.1,57.73,24.09,1.0,419.5,15,20.0
56.09,57.87,24.15,1.13,421.0,23,20.0
56.11,58.02,24.21,1.03,423.9,22,20.0
56.13,58.3,24.21,1.07,426.4,22,20.0
56.12,58.5,24.24,1.0,424.73,19,20.0
56.19,58.69,24.27,1.03,425.9,25,20.0
55.96,58.96,24.27,1.11,425.04,25,20.0
56.2,59.12,24.3,1.03,425.5,25,24.79999924
56.16,59.27,24.32,1.0,424.1,30,21.87096786
56.12,59.4,24.35,1.0,423.27,27,20.0
56.12,59.63,24.36,0.97,425.9,20,20.0
56.18,59.74,24.39,0.97,427.47,22,20.0
56.16,59.97,24.39,0.93,426.13,33,20.0
56.16,60.05,24.44,1.0,426.1,24,20.0
56.11,60.17,24.46,1.0,423.6,33,20.0
56.08,60.39,24.46,1.0,420.37,18,20.0
56.08,60.4,24.51,0.97,418.13,28,20.0
55.86,60.69,24.49,0.93,420.64,32,26.0714283
56.16,60.71,24.54,0.97,420.53,26,24.60000038
56.14,60.87,24.55,1.0,419.9,28,20.83333397
56.23,61.02,24.56,1.03,419.1,18,20.03333282
56.16,61.14,24.58,1.0,417.8,17,20.0
56.04,61.31,24.58,0.9,421.13,23,20.0
56.08,61.43,24.6,0.93,421.07,19,20.0
56.07,61.57,24.61,0.9,421.07,26,20.0
55.99,61.65,24.64,1.0,419.97,24,20.0
56.02,61.77,24.66,1.0,419.9,32,20.0
55.76,61.78,24.71,0.96,421.96,20,20.2142849
56.13,62.0,24.69,0.97,419.83,21,61.29999924
56.15,62.12,24.7,0.83,424.7,23,20.0
