Atmospheric Pressure,indoor_relative_humidity [%],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],occupant_count [number],voc [ppb]
66.3,46.61,23.14,1.57,674.5,28,24.2857151
64.12,46.39,23.22,1.57,670.67,29,30.39999962
62.49,46.32,23.24,1.7,671.1,30,26.66666603
61.2,46.39,23.21,1.8,672.53,31,23.73333359
62.12,46.37,23.18,1.55,659.76,35,20.0
58.52,46.29,23.2,1.77,648.8,36,20.0
56.97,46.21,23.19,1.9,631.17,28,20.0
57.18,45.86,23.19,1.87,604.1,18,20.0
57.48,45.9,23.1,1.57,572.57,22,20.0
57.4,45.99,23.08,1.83,555.83,17,20.0
58.31,46.08,23.06,1.64,544.46,16,21.1428566
57.88,45.9,23.22,1.57,538.0,16,27.36666679
57.45,46.07,23.17,1.37,539.6,18,23.53333282
57.51,45.9,23.22,1.37,539.33,27,20.29999924
56.96,45.98,23.15,1.43,538.97,24,20.0
57.16,45.89,23.14,1.38,533.17,25,20.0
56.91,45.7,23.19,1.6,527.33,18,20.0
57.09,45.89,23.09,1.33,524.67,28,20.0
57.02,45.89,23.09,1.5,522.3,32,20.0
57.01,45.64,23.11,1.37,517.1,17,20.0
57.46,45.44,23.19,1.48,516.0,20,20.0
60.41,45.39,23.19,1.45,511.1,25,26.89655113
57.51,45.66,23.02,1.5,513.03,21,22.13333321
57.18,45.9,22.89,1.37,506.3,18,20.10000038
57.24,46.01,22.78,1.2,496.8,20,20.0
57.36,46.12,22.71,1.48,488.9,29,20.0
57.17,46.08,22.88,1.43,484.57,19,20.0
57.2,45.88,23.44,1.07,481.73,25,20.0
57.23,46.19,23.61,1.27,481.77,31,20.0
57.13,46.52,23.78,1.2,485.13,23,20.0
56.98,46.94,23.9,1.43,482.3,20,20.0
56.79,47.41,23.98,1.46,482.93,27,20.9285717
57.05,47.88,24.07,1.33,482.97,26,21.10000038
57.0,48.22,24.14,1.52,481.58,30,20.03225899
56.98,48.64,24.18,1.5,478.23,34,20.0
57.04,49.02,24.24,1.77,476.23,27,20.0
56.83,49.25,24.33,1.76,474.66,27,20.0
57.05,49.49,24.39,1.7,477.23,28,20.0
57.42,49.83,24.43,1.77,478.73,30,20.0
57.51,50.2,24.45,1.87,477.8,34,20.0
57.38,50.52,24.48,1.57,476.43,21,20.0
57.04,50.78,24.53,1.82,477.36,26,20.6071434
57.17,51.08,24.55,1.9,476.2,26,22.63333321
57.03,51.26,24.61,1.87,476.83,24,20.5
57.09,51.57,24.61,1.9,473.93,35,20.10000038
57.09,51.86,24.64,1.93,471.67,28,20.0
56.98,52.15,24.66,2.03,474.45,35,20.0
56.96,52.36,24.69,2.03,475.6,23,20.0
57.09,52.55,24.73,1.97,471.9,30,20.0
56.96,52.85,24.76,1.9,469.37,34,20.0
57.15,53.11,24.77,2.0,470.9,35,20.0
57.08,53.35,24.8,2.07,468.54,23,20.0
57.17,53.6,24.81,2.1,467.67,36,26.43333244
57.14,53.83,24.83,2.03,467.93,38,22.33333397
56.94,53.99,24.86,2.3,469.67,25,20.20000076
56.91,54.26,24.87,2.13,472.4,27,20.0
57.02,54.47,24.89,2.07,471.93,40,20.0
57.15,54.67,24.91,2.13,471.23,29,20.0
56.93,54.95,24.9,2.07,472.37,36,20.0
57.03,55.21,24.91,2.07,470.9,33,20.0
57.23,55.38,24.92,2.1,468.63,29,20.0
57.0,55.52,24.95,2.17,470.37,35,20.0
56.72,55.71,24.96,2.21,440.43,36,21.75
57.12,55.81,24.98,2.07,461.8,23,20.76666641
57.07,56.03,24.99,2.1,466.43,33,20.0
57.05,56.12,25.03,2.03,467.2,37,20.0
56.97,56.3,25.04,2.1,470.77,36,20.0
56.89,56.46,25.05,2.1,472.69,31,20.0
57.13,56.61,25.06,2.17,474.47,37,20.0
57.26,56.75,25.08,2.13,471.0,35,20.0
57.26,56.88,25.09,2.07,467.73,40,20.0
57.08,57.03,25.11,2.13,470.07,27,20.0
56.81,57.24,25.1,2.04,470.5,32,20.6071434
57.28,57.51,25.08,2.23,470.9,28,21.33333397
57.4,57.61,25.11,2.1,472.63,33,20.0
