Atmospheric Pressure,optimal_relative_humidity [%],air_temperature [Celsius],indoor_co2 [ppm],dry_bulb_temp [Celsius],outdoor_co2 [ppm],occupant_count [number]
55.98,51.18,21.21,414.2,27.5,467.88,27
55.97,51.1,21.21,411.27,27.5,467.1,18
55.97,51.71,21.14,411.93,27.4,467.49,22
55.9,52.22,21.21,414.53,27.3,467.69,20
55.93,52.27,21.21,413.27,27.3,467.3,23
55.95,52.24,21.18,409.83,27.3,467.5,23
55.96,52.27,21.15,409.63,27.3,467.09,16
55.76,52.25,21.11,411.25,27.3,466.51,29
58.14,52.24,21.11,408.97,27.3,466.89,15
56.11,52.22,21.15,409.63,27.3,465.71,17
55.96,52.3,21.15,408.3,27.3,467.48,30
55.94,52.43,21.1,406.1,27.3,466.5,25
55.99,52.55,21.1,408.73,27.3,466.09,24
55.98,52.57,21.13,407.33,27.3,465.52,18
56.08,52.85,21.07,405.13,27.2,466.1,21
61.15,53.32,21.2,412.9,27.2,466.12,20
62.63,53.31,21.34,422.33,27.2,466.49,20
61.18,53.19,21.45,431.69,27.2,467.3,24
63.67,53.15,21.57,437.36,27.2,467.29,21
60.73,53.04,21.64,440.37,27.2,467.49,27
60.11,53.15,21.66,445.67,27.2,466.9,18
57.13,53.22,21.69,447.17,27.3,467.88,25
58.62,53.28,21.7,446.5,27.4,467.69,25
59.68,53.29,21.79,442.17,27.4,467.72,25
58.88,53.5,21.81,446.7,27.5,468.43,15
58.92,53.67,21.78,449.9,27.5,468.49,18
61.28,53.71,21.84,451.17,27.5,469.08,21
60.23,53.91,21.86,452.93,27.6,468.48,24
60.47,54.58,21.89,453.96,27.6,469.1,15
60.23,54.88,21.91,455.83,27.7,468.71,27
57.43,54.53,21.93,449.03,27.9,470.7,23
58.42,53.62,21.99,449.67,28.0,470.5,15
59.12,52.72,22.0,448.03,28.0,472.28,19
57.51,52.08,21.94,448.2,28.0,471.1,19
57.94,51.59,21.89,445.1,28.1,473.1,27
58.05,51.18,21.87,447.27,28.2,472.71,16
61.28,51.05,21.81,451.97,28.4,474.68,19
56.54,51.11,21.69,453.0,28.4,474.91,26
56.67,50.88,21.64,440.82,28.6,475.89,24
60.64,50.78,21.68,434.34,28.5,475.49,24
61.05,50.76,21.71,431.53,28.5,475.79,30
58.76,50.79,21.71,434.77,28.4,474.69,26
57.61,50.7,21.68,441.0,28.5,475.88,29
57.9,50.49,21.72,442.93,28.5,473.9,23
57.74,50.76,21.74,441.2,28.5,473.69,22
58.51,51.51,21.82,439.27,28.7,473.5,18
61.75,51.63,21.8,444.4,28.6,476.87,25
60.6,51.73,21.72,447.03,28.7,475.29,21
60.5,51.6,21.75,447.77,28.7,476.87,29
62.55,51.33,21.84,454.3,28.7,475.91,24
61.72,51.35,21.81,456.5,29.0,477.11,22
61.61,51.18,21.86,461.07,29.2,478.17,27
57.89,51.15,21.84,461.7,29.2,481.06,29
57.13,51.06,21.88,454.73,29.5,482.25,19
58.2,51.23,21.8,450.9,29.7,482.89,25
56.32,51.53,21.7,451.3,29.9,482.67,27
56.33,51.4,21.7,442.63,30.2,485.49,17
56.36,51.36,21.66,432.03,30.5,487.85,30
57.67,51.26,21.7,429.33,30.5,489.65,28
58.79,51.06,21.77,427.26,30.7,487.68,15
59.77,50.97,21.79,427.0,30.4,488.46,30
56.48,50.99,21.78,429.6,30.3,487.49,29
56.19,51.17,21.68,433.33,30.2,488.27,23
56.14,51.16,21.67,434.73,30.2,485.66,28
57.05,50.9,21.75,432.97,30.0,486.25,21
56.64,50.93,21.73,435.53,30.1,485.46,30
56.19,51.08,21.65,436.77,30.0,482.93,25
56.14,51.02,21.67,439.3,30.1,485.25,25
59.65,51.07,21.63,437.4,30.2,484.08,15
65.41,50.9,21.7,434.43,30.0,484.87,23
66.73,50.94,21.75,439.52,30.1,484.51,21
65.51,50.52,22.28,446.2,30.1,483.68,30
56.69,50.23,22.85,477.23,29.8,482.7,30
56.12,50.41,23.14,508.23,29.8,482.88,22
56.09,50.8,23.37,508.6,29.7,482.5,28
58.94,51.01,23.59,540.17,29.7,481.31,24
64.33,51.33,23.73,546.77,29.9,482.89,18
61.45,51.7,23.91,551.03,29.7,482.47,19
59.93,51.95,24.1,548.57,30.1,483.87,26
56.36,52.55,24.14,550.93,30.0,485.05,17
56.07,52.8,24.3,571.26,29.9,482.91,30
56.28,53.31,24.35,568.2,29.8,484.05,30
56.37,53.62,24.44,565.6,29.9,482.48,21
56.46,53.8,24.57,572.03,30.0,483.69,16
56.9,54.13,24.63,579.0,29.8,482.73,23
56.1,54.53,24.64,548.6,29.9,483.89,26
56.13,54.51,24.77,530.4,30.0,484.08,23
56.62,55.05,24.75,525.4,30.1,482.93,28
56.66,55.84,24.78,542.9,30.1,485.26,27
56.17,56.28,24.86,575.43,30.2,486.68,32
55.89,56.75,24.88,594.5,30.4,485.1,26
56.28,57.03,24.89,597.93,30.5,487.1,32
56.25,57.28,24.94,608.4,30.5,487.67,27
56.41,57.49,24.99,610.5,30.5,488.23,34
57.76,57.7,25.04,616.7,30.7,485.53,31
66.83,57.7,25.12,617.6,30.8,488.07,29
69.9,57.94,25.16,616.3,30.8,488.69,35
69.87,57.94,25.27,619.87,30.8,488.28,35
73.69,58.15,25.3,638.5,31.0,488.91,35
62.49,58.42,25.3,637.23,31.1,488.29,39
61.36,58.68,25.31,636.93,31.0,490.47,33
59.45,58.87,25.33,635.97,31.0,488.88,32
59.88,59.02,25.37,636.3,31.0,489.12,37
59.16,59.21,25.41,650.97,30.8,488.27,37
60.94,59.36,25.46,657.67,30.9,486.89,32
69.11,59.55,25.47,663.27,30.7,488.09,34
64.85,59.82,25.48,668.77,30.7,486.69,36
60.46,59.9,25.53,666.47,30.4,478.4,30
68.69,59.92,25.62,658.23,30.3,485.08,27
70.45,60.12,25.65,673.93,30.2,484.89,37
67.3,60.34,25.64,688.48,30.3,483.3,35
56.42,60.47,25.67,685.39,30.1,485.66,38
56.32,60.69,25.68,685.1,30.2,484.32,38
63.81,60.42,25.77,668.23,29.9,483.31,29
56.67,60.78,25.78,647.97,30.0,480.73,36
56.52,61.06,25.82,676.43,30.0,481.49,34
56.6,61.12,25.83,684.2,29.9,481.12,33
56.53,61.39,25.82,690.67,29.9,480.5,31
56.4,61.54,25.83,694.83,29.9,480.28,37
56.42,61.66,25.82,687.1,29.6,478.9,34
56.47,61.76,25.86,681.83,29.4,479.29,34
56.15,61.78,25.9,675.14,29.4,478.69,32
56.84,62.0,25.91,680.72,29.3,479.66,32
56.67,62.15,25.92,688.17,29.1,477.09,35
56.67,62.24,25.95,696.13,29.2,477.87,39
56.57,62.24,25.98,711.53,29.1,478.07,30
56.52,62.33,25.98,698.43,29.0,476.68,34
57.87,62.68,26.05,699.4,28.9,476.31,33
58.33,62.55,26.03,709.17,29.1,476.09,39
56.26,62.95,25.88,681.2,29.0,475.91,33
56.28,63.54,25.7,648.67,29.0,476.12,35
55.86,63.76,25.63,635.86,28.9,475.28,36
56.28,63.82,25.61,622.0,28.9,475.3,31
56.3,64.14,25.53,612.03,28.9,476.08,31
56.29,64.35,25.49,609.87,28.9,474.89,33
56.24,64.5,25.46,607.23,28.8,473.9,43
56.28,64.87,25.38,603.97,28.8,473.89,47
56.24,64.94,25.37,602.53,28.8,474.49,45
56.22,64.88,25.4,594.97,28.8,475.07,45
56.18,64.89,25.43,593.3,28.7,474.08,48
56.17,65.01,25.41,588.0,28.5,473.88,48
55.81,65.15,25.39,582.64,28.6,472.12,44
56.2,64.76,25.52,578.17,28.5,472.68,51
56.22,64.96,25.48,571.48,28.5,472.71,46
56.25,65.14,25.46,568.17,28.6,472.58,49
56.23,65.25,25.45,563.77,28.5,473.69,38
56.15,65.31,25.46,557.47,28.5,473.28,39
56.17,65.58,25.4,555.7,28.5,473.39,41
56.13,65.9,25.33,556.03,28.5,472.68,49
56.17,65.65,25.42,549.83,28.5,472.68,49
56.17,65.71,25.44,547.77,28.5,472.88,43
56.21,65.73,25.45,547.4,28.4,472.09,41
55.86,65.93,25.42,545.89,28.3,472.08,39
56.2,65.84,25.47,542.38,28.3,470.49,39
56.2,66.14,25.41,536.03,28.2,469.28,42
56.16,66.09,25.45,530.3,28.0,466.9,44
56.19,66.18,25.45,533.27,27.9,464.3,43
56.18,66.29,25.44,531.17,27.8,463.1,46
56.14,66.59,25.38,527.0,27.8,463.48,45
56.13,66.53,25.43,523.87,27.7,464.28,45
56.21,66.71,25.4,521.17,27.6,463.88,47
56.18,66.56,25.47,519.07,27.6,464.47,47
55.82,66.97,25.39,516.57,27.5,462.72,40
56.23,66.91,25.42,514.1,27.5,462.71,46
56.15,67.16,25.38,512.93,27.5,464.08,47
56.19,67.11,25.41,508.13,27.4,461.91,39
56.16,67.33,25.38,507.7,27.4,463.87,49
56.15,67.42,25.38,507.77,27.3,464.27,48
56.16,67.69,25.34,507.03,27.5,462.92,40
56.18,67.62,25.38,506.67,27.6,464.3,42
56.17,67.85,25.35,506.6,27.4,464.31,39
56.22,67.89,25.36,508.73,27.3,464.51,49
55.81,68.03,25.35,506.43,27.3,465.69,49
56.18,68.3,25.3,503.17,27.4,466.68,49
56.14,68.31,25.31,500.76,27.4,465.69,40
56.15,68.38,25.32,499.87,27.4,466.49,41
56.17,68.37,25.34,495.77,27.3,465.5,41
56.16,68.37,25.36,496.57,27.3,463.31,39
56.17,68.62,25.31,496.43,27.2,462.1,43
56.16,68.62,25.34,491.77,27.1,462.08,49
56.15,68.8,25.3,490.27,27.1,461.1,42
56.1,68.86,25.31,494.03,27.2,461.1,48
56.16,68.82,25.35,493.7,27.2,460.91,40
55.77,69.01,25.32,490.71,27.1,461.69,44
56.15,69.12,25.29,492.76,27.0,461.89,40
56.14,69.15,25.31,490.7,27.0,460.89,40
56.12,69.16,25.34,487.67,27.0,463.28,41
56.14,69.28,25.32,487.7,27.1,462.13,38
56.11,69.32,25.34,490.77,27.1,461.69,45
56.15,69.52,25.3,489.9,27.1,462.52,40
56.13,69.7,25.27,489.17,27.2,462.31,44
56.13,69.57,25.33,487.87,27.2,463.09,43
56.05,69.72,25.3,487.87,27.1,463.52,38
55.84,69.79,25.3,487.86,27.1,465.08,43
56.2,69.83,25.31,485.33,27.1,464.31,43
56.14,69.85,25.32,486.28,27.1,464.89,37
56.18,69.61,25.07,481.6,27.1,464.32,39
56.16,64.41,24.62,474.9,27.1,464.1,27
56.0,60.23,24.33,467.07,27.1,464.51,34
55.99,58.31,23.99,459.83,27.0,465.69,28
55.94,58.95,24.42,455.87,27.1,465.1,29
55.95,59.56,24.83,454.47,27.1,465.49,26
55.94,60.17,24.95,456.2,27.1,464.71,27
55.64,60.98,24.91,455.39,27.1,464.91,30
56.09,61.49,24.92,454.73,27.2,464.71,32
56.08,62.12,24.9,451.97,27.1,465.69,31
56.11,62.91,24.85,449.87,27.1,465.31,25
56.15,63.37,24.88,451.87,27.1,464.71,28
56.06,63.85,24.87,450.6,27.1,466.28,31
56.03,64.23,24.9,447.6,27.0,466.28,34
56.05,63.5,24.71,447.47,27.0,465.5,35
56.01,60.22,24.2,444.03,27.0,464.91,31
55.91,57.77,23.88,439.07,26.9,464.72,33
55.84,55.68,23.54,438.38,26.9,465.68,28
57.36,54.17,23.3,436.34,26.9,464.3,30
55.94,53.05,23.16,434.48,26.9,465.1,20
55.93,52.24,23.01,434.77,26.9,463.71,28
55.86,51.72,22.9,432.43,26.9,464.7,18
55.88,52.12,22.78,428.8,26.9,464.1,24
55.82,52.19,22.7,431.53,27.0,464.49,20
55.8,52.08,22.64,428.07,27.0,464.5,23
55.72,52.11,22.57,426.23,27.0,464.1,27
55.74,52.12,22.53,426.4,27.0,464.5,30
55.86,52.2,22.47,425.73,27.0,464.49,18
57.8,52.28,22.43,424.61,27.0,464.88,15
56.17,52.26,22.41,420.83,26.9,464.9,18
55.88,52.39,22.38,418.97,26.9,464.2,30
55.88,52.5,22.33,421.83,26.9,464.7,25
55.94,52.6,22.31,419.33,26.9,464.5,23
56.04,52.69,22.27,419.37,26.9,464.89,29
56.03,52.61,22.28,420.07,26.8,465.1,15
56.02,52.63,22.23,419.83,26.8,463.3,15
56.06,52.77,22.18,419.67,26.8,464.28,24
56.03,52.76,22.17,420.93,26.8,464.29,28
57.41,52.88,22.13,416.32,26.8,464.08,22
56.8,52.86,22.14,413.93,26.8,463.69,28
56.06,52.98,22.13,413.0,26.8,464.5,30
56.06,53.18,22.07,414.0,26.8,464.5,19
56.03,53.28,22.08,414.7,26.8,464.09,21
56.1,54.03,22.07,411.07,26.8,464.39,22
56.08,54.59,22.08,409.4,26.8,464.09,27
56.05,54.44,22.09,408.1,26.8,462.92,15
56.1,53.78,22.03,409.73,26.6,463.1,20
56.05,53.04,21.97,412.8,26.6,463.49,19
56.11,52.4,21.92,413.11,26.5,462.11,17
57.59,51.81,21.9,413.93,26.5,462.89,21
56.04,51.45,21.86,414.03,26.5,462.3,16
55.96,51.52,21.79,413.38,26.5,461.7,16
55.91,51.25,21.81,412.07,26.3,462.9,18
55.91,50.98,21.79,411.03,26.3,463.1,17
55.91,50.82,21.76,410.63,26.3,462.29,29
55.96,50.77,21.72,407.57,26.3,462.1,15
55.94,50.82,21.68,404.5,26.1,459.34,24
55.93,50.78,21.68,407.0,26.1,461.3,29
55.89,50.83,21.64,407.63,26.0,463.07,21
57.83,50.83,21.6,406.96,26.0,462.49,24
56.15,50.77,21.6,407.5,26.1,460.51,29
55.97,50.92,21.54,411.03,26.1,463.09,21
55.95,50.89,21.55,406.57,26.1,462.87,17
56.56,51.04,21.54,407.9,26.2,462.3,17
56.32,50.69,21.75,412.7,26.2,462.7,29
57.02,50.47,21.84,414.23,26.2,462.51,28
57.2,50.43,21.83,416.1,26.2,462.7,25
57.82,50.26,21.89,416.5,26.2,462.3,28
57.31,50.1,21.95,417.43,26.4,463.09,24
58.53,50.02,21.97,419.79,26.5,462.31,21
57.69,49.84,22.01,418.1,26.7,462.29,29
56.89,49.62,22.08,420.62,26.7,461.71,30
56.89,49.57,22.08,423.5,26.7,463.68,26
56.72,49.88,22.16,419.73,26.7,462.12,26
57.4,50.49,22.17,421.57,26.7,463.1,23
56.61,50.62,22.13,419.77,26.6,464.07,17
56.91,50.44,22.19,418.67,26.6,463.12,15
56.91,50.32,22.26,417.97,26.6,461.91,22
56.73,50.46,22.22,421.07,26.5,463.49,18
57.39,50.59,22.19,421.39,26.5,463.3,15
58.35,50.58,22.2,420.37,26.4,463.08,16
62.28,50.69,22.22,419.63,26.4,462.52,22
59.03,50.62,22.26,424.1,26.4,462.51,21
70.96,50.75,22.21,423.07,26.4,462.11,25
70.52,50.78,22.19,423.53,26.4,462.5,23
57.73,50.67,22.22,426.97,26.5,462.91,25
59.29,50.6,22.2,427.0,26.5,463.3,22
57.53,50.59,22.15,425.17,26.5,462.7,16
56.6,50.46,22.12,423.17,26.6,463.7,19
57.12,50.38,22.11,423.33,26.6,463.5,30
58.71,50.19,22.09,424.18,26.6,463.5,30
56.9,49.89,22.12,418.5,26.6,463.09,26
56.56,49.8,22.06,414.41,26.6,463.31,22
56.92,49.73,22.04,410.27,26.6,463.69,18
57.7,49.66,22.03,409.43,26.6,464.29,26
58.21,49.52,22.11,407.27,26.6,463.9,16
57.62,49.45,22.1,413.1,26.6,464.09,29
57.65,49.43,22.07,416.07,26.6,463.86,23
57.28,49.4,22.02,414.57,26.6,462.93,21
57.35,49.25,22.08,416.97,26.6,464.09,22
58.9,49.13,22.11,418.04,26.6,463.5,16
57.46,49.29,22.07,418.17,26.6,463.5,17
57.28,49.13,22.1,416.97,26.6,463.13,30
57.27,49.16,22.08,416.1,26.6,464.28,26
57.39,49.2,22.06,418.27,26.7,464.3,25
57.69,49.55,21.92,418.13,26.7,463.1,20
56.86,49.51,21.95,417.7,27.0,464.31,22
56.84,49.36,21.99,411.4,27.0,464.11,25
57.25,49.55,21.88,407.2,27.1,466.09,19
59.11,49.76,21.85,404.77,27.2,466.27,27
59.24,50.24,21.84,413.11,27.2,466.28,30
57.95,50.17,21.85,415.73,27.2,466.87,21
57.08,49.92,21.94,411.0,27.2,466.69,30
56.6,50.1,21.91,411.31,27.4,467.69,16
56.79,50.06,21.94,413.13,27.4,467.51,27
58.91,50.03,21.97,416.13,27.5,469.87,22
57.71,49.87,22.1,414.97,27.4,470.86,25
56.9,50.04,22.1,415.23,27.6,471.26,29
62.42,50.32,22.02,415.87,27.7,470.49,28
66.45,50.27,22.08,415.9,27.9,470.49,19
59.5,50.4,22.07,419.21,28.1,472.49,16
68.89,50.53,22.07,421.48,28.2,474.19,29
57.0,50.58,22.07,422.13,28.4,475.31,20
56.82,50.63,22.07,419.17,28.5,477.07,19
57.13,50.99,21.99,423.23,28.5,474.9,30
56.51,51.07,22.03,421.93,28.6,476.09,19
56.5,51.27,22.0,418.03,28.6,475.27,28
56.58,51.41,22.03,417.0,28.6,475.12,27
57.58,51.56,22.08,410.7,28.6,475.1,27
58.94,51.77,22.11,415.57,28.6,475.27,22
60.97,51.86,22.14,420.53,28.7,474.53,22
67.49,51.99,22.11,423.54,28.7,475.32,18
63.58,51.88,22.16,426.3,28.9,478.27,23
61.48,51.93,22.12,426.2,29.1,480.08,28
61.42,51.74,22.16,428.66,29.0,480.69,16
61.42,51.64,22.16,430.6,29.2,479.69,30
57.43,51.6,22.15,430.1,29.3,479.89,25
56.77,51.41,22.2,427.33,29.2,479.51,23
56.97,51.55,22.12,426.5,29.6,482.91,30
58.04,51.57,22.08,430.43,29.8,485.5,17
56.57,51.3,22.16,431.57,30.0,488.06,17
58.17,51.32,22.11,429.0,30.9,489.1,26
57.6,51.26,22.09,429.3,31.0,489.31,22
56.77,51.22,22.05,428.5,30.6,493.43,17
56.93,51.01,22.1,429.0,30.9,488.55,17
57.44,51.07,22.03,433.23,30.7,491.1,19
56.78,51.19,21.94,437.73,30.6,490.46,20
56.51,50.84,22.04,438.33,30.3,489.71,18
56.6,50.72,22.04,436.17,30.3,487.33,21
56.97,50.81,21.97,436.43,30.6,488.89,16
62.44,50.59,22.05,437.27,30.3,488.29,26
60.97,50.62,22.0,434.21,30.1,484.9,19
65.01,50.55,22.01,434.43,30.5,485.28,26
63.02,50.38,22.06,437.43,31.0,489.07,22
61.51,50.49,22.01,434.5,30.8,488.1,29
60.1,50.4,22.03,433.31,30.2,486.51,15
56.45,50.36,22.02,438.13,31.1,489.28,17
56.52,50.45,21.98,439.37,31.0,489.85,20
56.14,50.49,21.97,436.33,31.1,488.11,16
56.35,50.48,21.96,436.27,31.7,491.31,25
56.1,50.38,22.0,435.8,31.3,491.86,24
57.4,50.31,22.01,435.8,31.4,492.05,24
57.27,50.27,22.08,405.61,31.1,490.46,31
56.02,49.86,22.55,422.43,31.6,490.85,28
56.43,49.94,23.01,464.37,31.5,491.28,20
56.41,50.04,23.33,488.38,31.8,490.67,23
56.04,50.33,23.56,500.67,31.8,492.68,25
56.03,50.51,23.81,508.3,31.5,490.69,17
56.8,50.99,23.92,518.13,31.1,489.47,20
56.12,51.32,24.1,533.9,31.5,489.27,18
56.14,51.63,24.22,544.67,31.6,490.06,26
56.94,52.08,24.31,545.07,31.9,489.47,20
56.0,52.43,24.43,548.36,32.0,489.08,23
56.29,52.78,24.54,551.83,31.5,488.91,29
56.75,53.2,24.61,556.97,32.0,489.44,30
56.27,53.93,24.57,526.72,32.1,491.07,16
63.34,54.15,24.75,540.53,32.1,490.07,19
61.7,54.52,24.84,567.33,32.2,488.69,30
56.21,55.03,24.87,572.6,32.1,490.08,30
56.16,55.38,24.94,580.67,32.1,487.94,30
56.25,55.85,24.97,582.57,31.9,488.49,29
56.14,56.13,25.02,581.27,32.2,489.69,28
56.01,56.39,25.08,585.75,32.4,488.32,28
56.69,56.7,25.12,588.67,32.4,492.68,27
56.74,56.89,25.18,592.23,32.6,490.89,30
65.57,57.15,25.26,586.73,32.5,492.48,30
56.83,57.5,25.28,589.28,32.3,494.07,34
57.03,57.61,25.34,600.2,32.6,490.88,31
56.92,57.88,25.36,599.73,32.21,493.3,29
56.65,58.16,25.42,599.47,32.9,496.22,32
56.71,58.36,25.46,595.2,32.3,493.9,36
57.43,58.51,25.53,591.73,32.2,492.74,31
56.2,58.83,25.42,576.23,32.3,495.82,35
55.79,59.51,25.31,548.61,32.6,493.68,34
56.13,59.89,25.2,540.0,32.9,496.47,31
56.12,60.51,25.09,532.43,32.6,495.88,38
56.13,60.88,25.07,527.59,32.7,498.28,33
56.16,61.12,25.02,522.5,33.0,497.49,38
56.13,61.62,24.98,519.23,32.6,496.87,38
56.06,61.73,24.98,512.4,32.6,496.3,38
56.02,61.65,25.08,510.0,32.9,497.26,38
56.01,61.95,25.05,506.77,32.7,496.68,30
56.01,61.91,25.1,503.27,32.7,496.08,37
55.72,61.87,25.17,499.29,32.5,498.88,32
56.04,62.33,25.06,499.17,32.4,493.7,34
56.04,62.15,25.17,494.7,31.9,492.48,38
56.13,62.43,25.13,495.73,31.5,490.25,39
56.19,62.44,25.18,490.59,30.8,485.49,30
56.16,62.73,25.11,486.53,30.5,483.29,30
56.12,62.94,25.08,483.87,30.3,483.29,38
56.13,62.82,25.16,481.7,30.3,483.09,36
56.2,62.78,25.23,481.9,30.1,483.09,30
56.14,63.0,25.19,478.53,30.1,482.86,35
55.76,63.05,25.22,475.54,29.8,481.29,39
56.06,63.12,25.23,469.9,29.8,482.06,35
56.11,63.21,25.25,467.93,30.1,482.08,39
56.07,63.53,25.18,464.8,30.2,484.68,31
56.09,63.68,25.19,464.24,30.4,485.49,32
56.07,63.72,25.2,463.93,30.5,486.11,33
56.06,63.74,25.22,465.13,30.7,488.28,36
56.09,63.94,25.22,463.1,30.6,488.26,39
56.11,64.16,25.19,463.7,30.4,485.5,37
56.15,64.14,25.22,462.0,30.5,485.09,31
55.83,64.29,25.22,460.76,30.5,482.51,29
56.09,64.65,25.13,461.17,30.4,482.72,44
56.16,64.54,25.21,462.63,30.5,482.9,42
56.19,64.72,25.19,458.93,30.6,485.27,41
56.13,64.69,25.24,457.45,30.4,484.68,39
56.16,64.84,25.22,454.23,30.3,483.5,47
56.13,64.77,25.28,452.4,30.5,484.87,42
56.16,64.91,25.27,451.1,30.7,487.1,48
56.13,65.03,25.27,449.27,30.6,487.5,46
56.19,65.08,25.28,447.97,30.6,488.09,44
56.15,65.27,25.26,445.43,30.9,487.51,46
55.78,65.47,25.23,442.04,30.7,486.7,42
56.18,65.4,25.29,442.67,30.5,485.31,41
56.2,65.5,25.29,444.9,30.5,484.9,38
56.18,65.72,25.26,445.3,30.5,483.33,45
56.18,65.88,25.23,444.48,30.4,482.52,46
56.21,65.87,25.27,442.43,30.5,482.31,46
56.18,66.0,25.27,442.33,30.3,482.12,42
56.19,66.11,25.27,442.23,30.0,479.79,39
56.21,66.21,25.28,438.03,29.9,477.69,48
56.22,66.24,25.29,443.47,29.8,477.89,39
55.79,66.38,25.28,443.29,29.7,475.89,45
56.14,66.46,25.29,442.17,29.6,476.28,40
56.2,66.58,25.28,444.57,29.4,474.89,38
56.23,66.72,25.26,443.07,29.4,475.29,45
56.2,66.66,25.3,440.93,29.3,474.49,42
56.2,66.68,25.31,441.43,29.3,473.91,40
56.16,66.84,25.31,444.27,29.1,473.3,38
56.19,66.94,25.31,442.33,29.1,474.06,47
56.19,67.18,25.27,442.87,29.0,473.1,41
56.18,67.29,25.27,442.93,28.9,473.07,39
55.88,67.34,25.28,439.71,28.9,471.69,40
56.19,67.39,25.29,435.0,28.8,473.89,41
56.18,67.44,25.3,434.23,28.9,472.89,39
56.19,67.42,25.34,433.73,28.9,472.69,44
56.16,67.57,25.32,433.2,28.9,471.51,41
56.2,67.48,25.36,431.62,28.8,472.31,39
56.18,67.67,25.34,430.03,28.8,473.08,44
56.15,67.84,25.32,434.33,28.8,472.11,43
56.16,67.92,25.33,432.1,28.8,472.49,42
56.16,67.95,25.35,432.37,28.8,473.26,41
56.2,68.02,25.34,432.83,28.8,471.1,48
55.79,68.18,25.32,433.29,28.7,472.49,43
56.13,68.2,25.34,433.7,28.6,470.5,41
56.18,68.32,25.34,437.07,28.5,470.92,38
56.16,68.37,25.35,433.93,28.5,471.69,40
56.14,68.42,25.35,433.21,28.5,471.68,46
56.17,68.5,25.36,434.6,28.5,471.87,48
56.16,68.63,25.33,432.3,28.5,471.28,46
56.17,68.89,25.27,434.8,28.5,471.09,46
56.16,68.81,25.32,436.73,28.5,471.9,45
56.16,69.02,25.29,438.2,28.5,471.3,40
55.76,68.8,25.38,435.79,28.5,470.33,40
56.13,68.97,25.35,438.23,28.5,471.88,47
56.13,69.16,25.32,435.8,28.5,471.9,43
56.09,69.15,25.33,434.47,28.5,471.1,41
56.08,69.06,25.39,436.1,28.4,472.27,41
56.13,69.14,25.38,434.4,28.4,470.89,45
56.12,69.26,25.36,432.83,28.4,470.52,41
56.09,69.43,25.34,429.57,28.4,471.47,44
56.11,69.41,25.36,431.9,28.4,470.56,45
56.17,69.17,25.44,433.53,28.3,471.48,48
55.83,69.43,25.39,431.39,28.3,471.28,42
56.2,69.46,25.39,430.77,28.3,470.3,45
56.23,69.6,25.38,431.0,28.3,470.5,41
56.26,69.34,25.11,431.2,28.3,469.33,44
56.16,64.06,24.65,429.6,28.3,470.69,36
56.04,59.89,24.4,424.79,28.3,469.31,30
56.02,58.06,24.01,419.3,28.1,470.69,29
56.03,58.79,24.55,415.77,28.1,469.69,30
56.03,59.31,24.95,416.23,28.1,469.29,29
55.93,59.85,25.02,414.97,28.2,469.28,35
55.85,60.4,25.05,413.6,28.1,468.92,27
55.64,61.3,24.98,413.0,28.1,470.47,31
55.95,61.87,25.01,415.17,28.1,469.7,32
56.06,62.46,24.97,418.4,28.1,469.87,28
56.0,62.9,25.0,417.6,28.1,469.49,32
56.02,63.37,24.99,417.21,28.0,469.11,34
55.92,63.67,25.04,419.81,28.0,468.5,34
56.01,63.24,24.8,423.1,28.0,469.88,26
55.98,59.72,24.17,419.93,28.0,468.49,28
55.93,56.7,23.95,417.13,28.0,469.69,30
56.02,54.56,23.6,415.03,27.9,468.32,16
57.36,53.32,23.29,411.83,27.9,468.9,25
60.52,53.09,23.08,413.5,27.9,468.89,29
56.51,52.59,23.03,432.5,27.9,468.7,29
56.67,51.99,23.0,441.33,27.8,468.11,23
56.51,52.1,22.91,438.8,27.8,467.52,15
56.65,51.86,22.83,434.93,27.8,468.5,21
56.38,51.59,23.01,430.77,27.8,469.66,25
58.13,51.52,23.1,434.9,27.7,468.1,19
58.83,51.99,23.1,448.93,27.6,468.08,21
59.42,51.73,23.31,476.9,27.6,467.9,26
58.3,51.46,23.5,497.0,27.6,467.7,22
61.07,52.17,23.25,522.37,27.6,466.51,23
58.96,52.58,23.16,546.27,27.6,467.5,22
61.02,52.77,23.17,563.53,27.6,467.69,22
63.45,53.86,23.16,596.61,27.6,467.09,18
63.6,54.52,23.11,642.0,27.6,466.31,25
62.09,54.28,23.19,679.0,27.55,468.06,18
61.72,54.03,23.1,708.17,27.5,467.11,30
62.62,53.6,23.23,723.63,27.5,467.48,26
60.74,53.65,23.09,727.93,27.4,466.69,27
59.9,53.33,23.2,727.86,27.4,467.7,22
64.86,53.21,23.16,729.38,27.3,466.32,26
63.69,53.0,23.25,732.5,27.3,466.89,23
61.9,52.79,23.31,732.47,27.3,467.08,16
62.08,52.58,23.38,732.87,27.3,465.9,22
62.01,52.7,23.3,736.17,27.3,466.29,27
61.27,52.88,23.25,735.43,27.3,467.28,21
61.93,53.05,23.21,736.27,27.3,466.29,20
62.07,53.24,23.15,739.97,27.3,465.89,23
61.83,53.26,23.19,739.6,27.3,465.88,16
61.07,52.74,23.32,744.77,27.3,466.69,18
61.94,51.71,23.59,751.18,27.3,464.71,25
60.69,51.14,23.57,745.33,27.1,466.29,17
