Atmospheric Pressure,optimal_relative_humidity [%],air_temperature [Celsius],indoor_co2 [ppm],dry_bulb_temp [Celsius],outdoor_co2 [ppm],occupant_count [number]
64.12,46.39,23.22,670.67,26.9,472.72,28
62.49,46.32,23.24,671.1,26.7,472.69,24
61.2,46.39,23.21,672.53,26.6,472.28,24
62.12,46.37,23.18,659.76,26.6,470.71,22
58.52,46.29,23.2,648.8,26.6,473.07,25
56.97,46.21,23.19,631.17,26.7,472.87,23
57.18,45.86,23.19,604.1,27.0,473.29,19
57.48,45.9,23.1,572.57,27.0,476.69,23
57.4,45.99,23.08,555.83,27.4,476.69,17
58.31,46.08,23.06,544.46,27.7,476.87,31
57.88,45.9,23.22,538.0,27.7,480.64,29
57.45,46.07,23.17,539.6,27.55,478.88,16
57.51,45.9,23.22,539.33,27.1,477.09,20
56.96,45.98,23.15,538.97,27.0,474.69,32
57.16,45.89,23.14,533.17,27.2,474.69,31
56.91,45.7,23.19,527.33,27.4,476.29,17
57.09,45.89,23.09,524.67,27.5,475.49,23
57.02,45.89,23.09,522.3,27.7,476.28,23
57.01,45.64,23.11,517.1,27.9,477.69,24
57.46,45.44,23.19,516.0,27.5,477.49,30
60.41,45.39,23.19,511.1,27.5,477.1,24
57.51,45.66,23.02,513.03,27.5,477.08,20
57.18,45.9,22.89,506.3,27.0,475.09,19
57.24,46.01,22.78,496.8,26.8,472.29,24
57.36,46.12,22.71,488.9,26.4,470.29,29
57.17,46.08,22.88,484.57,26.5,469.68,31
57.2,45.88,23.44,481.73,26.7,470.7,18
57.23,46.19,23.61,481.77,26.6,472.88,18
57.13,46.52,23.78,485.13,27.1,474.89,32
56.98,46.94,23.9,482.3,27.0,475.69,20
56.79,47.41,23.98,482.93,27.2,475.69,31
57.05,47.88,24.07,482.97,28.1,478.49,20
57.0,48.22,24.14,481.58,28.4,480.49,33
56.98,48.64,24.18,478.23,28.2,480.27,25
57.04,49.02,24.24,476.23,28.1,479.29,29
56.83,49.25,24.33,474.66,28.1,478.19,30
57.05,49.49,24.39,477.23,28.2,478.09,31
57.42,49.83,24.43,478.73,27.8,477.47,23
57.51,50.2,24.45,477.8,27.9,477.29,33
57.38,50.52,24.48,476.43,27.7,477.49,36
57.04,50.78,24.53,477.36,28.5,477.69,28
57.17,51.08,24.55,476.2,28.7,478.29,26
57.03,51.26,24.61,476.83,29.0,479.89,23
57.09,51.57,24.61,473.93,28.3,478.7,24
57.09,51.86,24.64,471.67,28.7,477.91,24
56.98,52.15,24.66,474.45,28.7,479.49,22
56.96,52.36,24.69,475.6,28.5,480.09,31
57.09,52.55,24.73,471.9,29.1,482.07,27
56.96,52.85,24.76,469.37,28.5,480.87,38
57.15,53.11,24.77,470.9,28.5,478.68,27
57.08,53.35,24.8,468.54,28.4,478.09,24
57.17,53.6,24.81,467.67,28.7,478.49,24
57.14,53.83,24.83,467.93,29.0,480.89,28
56.94,53.99,24.86,469.67,29.5,481.29,23
56.91,54.26,24.87,472.4,29.6,481.89,31
57.02,54.47,24.89,471.93,29.6,483.29,38
57.15,54.67,24.91,471.23,29.3,482.09,28
56.93,54.95,24.9,472.37,29.1,482.69,38
57.03,55.21,24.91,470.9,29.0,482.99,43
57.23,55.38,24.92,468.63,29.1,482.49,36
57.0,55.52,24.95,470.37,29.7,484.29,40
56.72,55.71,24.96,440.43,30.1,486.49,37
57.12,55.81,24.98,461.8,30.5,487.89,35
57.07,56.03,24.99,466.43,30.4,487.29,38
57.05,56.12,25.03,467.2,30.5,489.28,39
56.97,56.3,25.04,470.77,30.5,488.89,43
56.89,56.46,25.05,472.69,31.1,490.08,42
57.13,56.61,25.06,474.47,31.2,489.88,45
57.26,56.75,25.08,471.0,31.7,491.28,39
57.26,56.88,25.09,467.73,31.5,494.68,44
57.08,57.03,25.11,470.07,31.5,491.88,43
56.81,57.24,25.1,470.5,31.7,492.08,42
57.28,57.51,25.08,470.9,31.7,495.48,37
57.4,57.61,25.11,472.63,32.0,492.71,33
57.26,57.71,25.13,469.67,31.8,492.48,36
57.2,57.92,25.13,471.47,31.5,494.88,36
57.12,57.97,25.15,471.66,30.7,493.48,41
57.1,58.13,25.16,469.77,31.3,492.08,40
57.1,58.31,25.15,468.07,31.4,491.48,45
57.12,58.33,25.2,464.4,30.8,492.08,39
57.05,58.54,25.18,467.27,30.8,491.48,42
56.57,58.7,25.19,468.5,31.0,490.88,43
56.91,58.8,25.2,467.77,31.2,493.08,35
56.94,58.87,25.22,467.93,30.9,491.89,44
57.16,59.14,25.2,468.37,30.8,491.68,44
57.0,59.19,25.22,469.2,30.4,488.51,42
